stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
50,0.5,2.0,58.0140275999438,,57.99728599982336,58.0140275999438,58.49762209993787,58.49762209993787,58.51427219994366,58.79720549983904,59.01467469986528,right,2.0,1,1,0.5012041998561472,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
51,0.5,1.5,59.03022899990901,,59.01491569983773,59.03022899990901,59.51424239994958,59.51424239994958,59.53103829990141,59.81490989984013,59.964426999911666,left,-1.5,1,1,0.4472434998024255,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
52,0.5,1.5,59.98025519982912,,59.96471839980222,59.98025519982912,60.4631376999896,60.4631376999896,60.47980989981443,60.76426229998469,61.147679899819195,left,-1.5,1,1,0.6742920000106096,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
53,0.5,1.5,61.1645252997987,,61.14791169995442,61.1645252997987,61.64865089999512,61.64865089999512,61.66501190001145,61.94789019995369,62.496720699826255,left,-1.5,1,1,0.8377845999784768,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
54,0.5,1.0,62.51295899995603,,62.49695339985192,62.51295899995603,62.99803409981541,62.99803409981541,63.015643399907276,63.29854559991509,63.54761069989763,left,-1.0,1,1,0.5386707000434399,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
55,0.5,1.0,63.564108999911696,,63.547900799894705,63.564108999911696,64.06319599994458,64.06319599994458,64.06319599994458,64.36352649983019,64.71456859982572,right,1.0,1,1,0.6391505999490619,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
56,0.5,1.0,64.73093069996685,,64.71481669996865,64.73093069996685,65.21299449983053,65.21299449983053,65.2473063999787,65.51333609991707,65.64807789982297,right,1.0,1,1,0.4268708999734372,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
57,0.5,1.0,65.66383679979481,,65.64834019984119,65.66383679979481,66.14664459996857,66.14664459996857,66.1641214999836,66.44644379988313,66.57991279987618,right,1.0,1,1,0.4295799999963492,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
58,0.5,1.0,66.59772909991443,,66.5801075999625,66.59772909991443,67.0797520999331,67.0797520999331,67.1131908998359,67.3813692999538,67.5470592000056,right,1.0,1,1,0.4635493999812752,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
59,0.5,1.0,67.56324899988249,,67.54729679995216,67.56324899988249,68.04663769993931,68.04663769993931,68.06339429994114,68.34818540001288,68.53278989996761,left,-1.0,1,1,0.4739423000719398,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
60,0.5,1.0,68.5479204999283,,68.53311799978837,68.5479204999283,69.04650229983963,69.04650229983963,69.0640359998215,69.34733599983156,69.6822847998701,right,1.0,0,0,0.6277733999304473,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
